image_id,image_path,model,color,caption,make,type
l_1727232706_box_0,Audi/A4/l_1727232706_box_0.jpg,Audi A4,titan,Đây là chiếc xe dòng Audi A4 màu titan.,Audi,Sedan
l_1727232706_box_1,Audi/A4/l_1727232706_box_1.jpg,Audi A4,titan,Đây là chiếc xe dòng Audi A4 màu titan.,Audi,Sedan
l_1727232707_box_0,Audi/A4/l_1727232707_box_0.jpg,Audi A4,titan,Đây là chiếc xe dòng Audi A4 màu titan.,Audi,Sedan
l_1729919631_box_0,Audi/A4/l_1729919631_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1729919631_box_2,Audi/A4/l_1729919631_box_2.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1731299379_box_1,Audi/A4/l_1731299379_box_1.jpg,Audi A4,trắng,Đây là chiếc xe dòng Audi A4 màu trắng.,Audi,Sedan
l_1731299380_box_0,Audi/A4/l_1731299380_box_0.jpg,Audi A4,trắng,Đây là chiếc xe dòng Audi A4 màu trắng.,Audi,Sedan
l_1731299382_box_0,Audi/A4/l_1731299382_box_0.jpg,Audi A4,trắng,Đây là chiếc xe dòng Audi A4 màu trắng.,Audi,Sedan
l_1731423874_box_0,Audi/A4/l_1731423874_box_0.jpg,Audi A4,xám,Đây là chiếc xe dòng Audi A4 màu xám.,Audi,Sedan
l_1731423875_box_0,Audi/A4/l_1731423875_box_0.jpg,Audi A4,xám,Đây là chiếc xe dòng Audi A4 màu xám.,Audi,Sedan
l_1731423876_box_1,Audi/A4/l_1731423876_box_1.jpg,Audi A4,xám bạc,Đây là chiếc xe dòng Audi A4 màu xám bạc.,Audi,Sedan
l_1731423879_box_0,Audi/A4/l_1731423879_box_0.jpg,Audi A4,xám,Đây là chiếc xe dòng Audi A4 màu xám.,Audi,Sedan
l_1731423880_box_0,Audi/A4/l_1731423880_box_0.jpg,Audi A4,xám,Đây là chiếc xe dòng Audi A4 màu xám.,Audi,Sedan
l_1731423880_box_1,Audi/A4/l_1731423880_box_1.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1731489480_box_3,Audi/A4/l_1731489480_box_3.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1731489480_box_4,Audi/A4/l_1731489480_box_4.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1731489481_box_0,Audi/A4/l_1731489481_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1731489484_box_0,Audi/A4/l_1731489484_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1731489486_box_0,Audi/A4/l_1731489486_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1731507848_box_0,Audi/A4/l_1731507848_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1731507850_box_0,Audi/A4/l_1731507850_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1731507851_box_1,Audi/A4/l_1731507851_box_1.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1722401571_box_0,Audi/A4/l_1722401571_box_0.jpg,Audi A4,trắng,Đây là chiếc xe dòng Audi A4 màu trắng.,Audi,Sedan
l_1722401571_box_1,Audi/A4/l_1722401571_box_1.jpg,Audi A4,xám,Đây là chiếc xe dòng Audi A4 màu xám.,Audi,Sedan
l_1722401571_box_2,Audi/A4/l_1722401571_box_2.jpg,Audi A4,xám,Đây là chiếc xe dòng Audi A4 màu xám.,Audi,Sedan
l_1722401572_box_0,Audi/A4/l_1722401572_box_0.jpg,Audi A4,trắng,Đây là chiếc xe dòng Audi A4 màu trắng.,Audi,Sedan
l_1722401588_box_0,Audi/A4/l_1722401588_box_0.jpg,Audi A4,trắng,Đây là chiếc xe dòng Audi A4 màu trắng.,Audi,Sedan
l_1722825329_box_1,Audi/A4/l_1722825329_box_1.jpg,Audi A4,xanh lá,Đây là chiếc xe dòng Audi A4 màu xanh lá.,Audi,Sedan
l_1722825329_box_2,Audi/A4/l_1722825329_box_2.jpg,Audi A4,xanh lá,Đây là chiếc xe dòng Audi A4 màu xanh lá.,Audi,Sedan
l_1722825330_box_0,Audi/A4/l_1722825330_box_0.jpg,Audi A4,xanh lá,Đây là chiếc xe dòng Audi A4 màu xanh lá.,Audi,Sedan
l_1722825331_box_0,Audi/A4/l_1722825331_box_0.jpg,Audi A4,xanh lá,Đây là chiếc xe dòng Audi A4 màu xanh lá.,Audi,Sedan
l_1722825332_box_1,Audi/A4/l_1722825332_box_1.jpg,Audi A4,xanh lá,Đây là chiếc xe dòng Audi A4 màu xanh lá.,Audi,Sedan
l_1722825333_box_0,Audi/A4/l_1722825333_box_0.jpg,Audi A4,xanh lá,Đây là chiếc xe dòng Audi A4 màu xanh lá.,Audi,Sedan
l_1723858689_box_0,Audi/A4/l_1723858689_box_0.jpg,Audi A4,xanh biển,Đây là chiếc xe dòng Audi A4 màu xanh biển.,Audi,Sedan
l_1723858690_box_0,Audi/A4/l_1723858690_box_0.jpg,Audi A4,xanh biển,Đây là chiếc xe dòng Audi A4 màu xanh biển.,Audi,Sedan
l_1723858691_box_0,Audi/A4/l_1723858691_box_0.jpg,Audi A4,xanh biển,Đây là chiếc xe dòng Audi A4 màu xanh biển.,Audi,Sedan
l_1723858693_box_0,Audi/A4/l_1723858693_box_0.jpg,Audi A4,xanh biển,Đây là chiếc xe dòng Audi A4 màu xanh biển.,Audi,Sedan
l_1723858694_box_0,Audi/A4/l_1723858694_box_0.jpg,Audi A4,xanh biển,Đây là chiếc xe dòng Audi A4 màu xanh biển.,Audi,Sedan
l_1726205147.401,Audi/A6/l_1726205147.401.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1726205153.973,Audi/A6/l_1726205153.973.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1726205157.254,Audi/A6/l_1726205157.254.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1726205166.428,Audi/A6/l_1726205166.428.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1731048015.402,Audi/A6/l_1731048015.402.jpg,Audi A6,đỏ,Đây là chiếc xe dòng Audi A6 màu đỏ.,Audi,Sedan
l_1731048016.217,Audi/A6/l_1731048016.217.jpg,Audi A6,đỏ,Đây là chiếc xe dòng Audi A6 màu đỏ.,Audi,Sedan
l_1731048019.559,Audi/A6/l_1731048019.559.jpg,Audi A6,đỏ,Đây là chiếc xe dòng Audi A6 màu đỏ.,Audi,Sedan
l_1731048019.755,Audi/A6/l_1731048019.755.jpg,Audi A6,đỏ,Đây là chiếc xe dòng Audi A6 màu đỏ.,Audi,Sedan
l_1731048020.870,Audi/A6/l_1731048020.870.jpg,Audi A6,đỏ,Đây là chiếc xe dòng Audi A6 màu đỏ.,Audi,Sedan
l_1731048021.829,Audi/A6/l_1731048021.829.jpg,Audi A6,đỏ,Đây là chiếc xe dòng Audi A6 màu đỏ.,Audi,Sedan
l_1734062678.677,Audi/A6/l_1734062678.677.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1734062679.802,Audi/A6/l_1734062679.802.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1734062679.884,Audi/A6/l_1734062679.884.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1734062680.714,Audi/A6/l_1734062680.714.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1734062680.864,Audi/A6/l_1734062680.864.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1734067898.273,Audi/A6/l_1734067898.273.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1734067899.760,Audi/A6/l_1734067899.760.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1734067900.845,Audi/A6/l_1734067900.845.jpg,Audi A6,xám bạc,Đây là chiếc xe dòng Audi A6 màu xám bạc.,Audi,Sedan
l_1734067901.580,Audi/A6/l_1734067901.580.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1734067901.820,Audi/A6/l_1734067901.820.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1737440371.584,Audi/A6/l_1737440371.584.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1737440371.638,Audi/A6/l_1737440371.638.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1737440372.189,Audi/A6/l_1737440372.189.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1737440372.282,Audi/A6/l_1737440372.282.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1737440373.548,Audi/A6/l_1737440373.548.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1737440373.903,Audi/A6/l_1737440373.903.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1739352419.371,Audi/A6/l_1739352419.371.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1739352420.507,Audi/A6/l_1739352420.507.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1739352422.649,Audi/A6/l_1739352422.649.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1739352424.978,Audi/A6/l_1739352424.978.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1739352491.481,Audi/A6/l_1739352491.481.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1739352509.868,Audi/A6/l_1739352509.868.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1739758250.263,Audi/A6/l_1739758250.263.jpg,Audi A6,nâu,Đây là chiếc xe dòng Audi A6 màu nâu.,Audi,Sedan
l_1739758251.399,Audi/A6/l_1739758251.399.jpg,Audi A6,nâu,Đây là chiếc xe dòng Audi A6 màu nâu.,Audi,Sedan
l_1739758252.505,Audi/A6/l_1739758252.505.jpg,Audi A6,nâu,Đây là chiếc xe dòng Audi A6 màu nâu.,Audi,Sedan
l_1739758253.395,Audi/A6/l_1739758253.395.jpg,Audi A6,nâu,Đây là chiếc xe dòng Audi A6 màu nâu.,Audi,Sedan
l_1739758256.762,Audi/A6/l_1739758256.762.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1740645432.306,Audi/A6/l_1740645432.306.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1740645437.312,Audi/A6/l_1740645437.312.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1740645442.870,Audi/A6/l_1740645442.870.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1740645447.972,Audi/A6/l_1740645447.972.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1740716691.372,Audi/A6/l_1740716691.372.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1740716691.890,Audi/A6/l_1740716691.890.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1740716692.295,Audi/A6/l_1740716692.295.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1740716692.881,Audi/A6/l_1740716692.881.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1742967994.197,Audi/A6/l_1742967994.197.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1742967994.842,Audi/A6/l_1742967994.842.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1742967995.322,Audi/A6/l_1742967995.322.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1742967995.459,Audi/A6/l_1742967995.459.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1742967996.922,Audi/A6/l_1742967996.922.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1742967997.336,Audi/A6/l_1742967997.336.jpg,Audi A6,đen,Đây là chiếc xe dòng Audi A6 màu đen.,Audi,Sedan
l_1745199560.707,Audi/A6/l_1745199560.707.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1745199561.865,Audi/A6/l_1745199561.865.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1745199562.622,Audi/A6/l_1745199562.622.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1745199562.863,Audi/A6/l_1745199562.863.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1745199565.943,Audi/A6/l_1745199565.943.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1745199566.250,Audi/A6/l_1745199566.250.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1746688688.325,Audi/A6/l_1746688688.325.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1746688688.678,Audi/A6/l_1746688688.678.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1746688689.589,Audi/A6/l_1746688689.589.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1746688690.253,Audi/A6/l_1746688690.253.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1746688690.488,Audi/A6/l_1746688690.488.jpg,Audi A6,trắng,Đây là chiếc xe dòng Audi A6 màu trắng.,Audi,Sedan
l_1746763895.576,Audi/A6/l_1746763895.576.jpg,Audi A6,đỏ,Đây là chiếc xe dòng Audi A6 màu đỏ.,Audi,Sedan
l_1746763895.942,Audi/A6/l_1746763895.942.jpg,Audi A6,đỏ,Đây là chiếc xe dòng Audi A6 màu đỏ.,Audi,Sedan
l_1746763898.987,Audi/A6/l_1746763898.987.jpg,Audi A6,đỏ,Đây là chiếc xe dòng Audi A6 màu đỏ.,Audi,Sedan
l_1746763899.623,Audi/A6/l_1746763899.623.jpg,Audi A6,đỏ,Đây là chiếc xe dòng Audi A6 màu đỏ.,Audi,Sedan
l_1746763900.918,Audi/A6/l_1746763900.918.jpg,Audi A6,đỏ,Đây là chiếc xe dòng Audi A6 màu đỏ.,Audi,Sedan
l_1746763901.944,Audi/A6/l_1746763901.944.jpg,Audi A6,đỏ,Đây là chiếc xe dòng Audi A6 màu đỏ.,Audi,Sedan
l_1714697430.396,Audi/Q3/l_1714697430.396.jpeg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1714697431.291,Audi/Q3/l_1714697431.291.jpeg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1714697432.270,Audi/Q3/l_1714697432.270.jpeg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1714697432.755,Audi/Q3/l_1714697432.755.jpeg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1714697433.522,Audi/Q3/l_1714697433.522.jpeg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1714697434.692,Audi/Q3/l_1714697434.692.jpeg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1718607422.335 (1),Audi/Q3/l_1718607422.335 (1).jpg,Audi Q3,xám,Đây là chiếc xe dòng Audi Q3 màu xám.,Audi,SUV
l_1718607422.335,Audi/Q3/l_1718607422.335.jpg,Audi Q3,xám,Đây là chiếc xe dòng Audi Q3 màu xám.,Audi,SUV
l_1718607423.245 (1),Audi/Q3/l_1718607423.245 (1).jpg,Audi Q3,xám,Đây là chiếc xe dòng Audi Q3 màu xám.,Audi,SUV
l_1718607423.245,Audi/Q3/l_1718607423.245.jpg,Audi Q3,xám,Đây là chiếc xe dòng Audi Q3 màu xám.,Audi,SUV
l_1718607425.810 (1),Audi/Q3/l_1718607425.810 (1).jpg,Audi Q3,xám,Đây là chiếc xe dòng Audi Q3 màu xám.,Audi,SUV
l_1718607425.810,Audi/Q3/l_1718607425.810.jpg,Audi Q3,xám,Đây là chiếc xe dòng Audi Q3 màu xám.,Audi,SUV
l_1718607426.447 (1),Audi/Q3/l_1718607426.447 (1).jpg,Audi Q3,xám,Đây là chiếc xe dòng Audi Q3 màu xám.,Audi,SUV
l_1718607426.447,Audi/Q3/l_1718607426.447.jpg,Audi Q3,xám,Đây là chiếc xe dòng Audi Q3 màu xám.,Audi,SUV
l_1718607427.167 (1),Audi/Q3/l_1718607427.167 (1).jpg,Audi Q3,xám,Đây là chiếc xe dòng Audi Q3 màu xám.,Audi,SUV
l_1718607427.167,Audi/Q3/l_1718607427.167.jpg,Audi Q3,xám,Đây là chiếc xe dòng Audi Q3 màu xám.,Audi,SUV
l_1724034509.925,Audi/Q3/l_1724034509.925.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1724034510.859,Audi/Q3/l_1724034510.859.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1724034511.367 (1),Audi/Q3/l_1724034511.367 (1).jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1724034511.367,Audi/Q3/l_1724034511.367.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1724034512.804 (1),Audi/Q3/l_1724034512.804 (1).jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1724034512.804,Audi/Q3/l_1724034512.804.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1724034513.724 (1),Audi/Q3/l_1724034513.724 (1).jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1724034513.724,Audi/Q3/l_1724034513.724.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1726059728.243,Audi/Q3/l_1726059728.243.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1726059728.882,Audi/Q3/l_1726059728.882.jpg,Audi Q3,xám,Đây là chiếc xe dòng Audi Q3 màu xám.,Audi,SUV
l_1726059729.583,Audi/Q3/l_1726059729.583.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1737996684.810,Audi/Q3/l_1737996684.810.jpg,Audi Q3,đen,Đây là chiếc xe dòng Audi Q3 màu đen.,Audi,SUV
l_1737996685.510,Audi/Q3/l_1737996685.510.jpg,Audi Q3,đen,Đây là chiếc xe dòng Audi Q3 màu đen.,Audi,SUV
l_1737996689.384,Audi/Q3/l_1737996689.384.jpg,Audi Q3,đen,Đây là chiếc xe dòng Audi Q3 màu đen.,Audi,SUV
l_1740120352.184,Audi/Q3/l_1740120352.184.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1740120355.731,Audi/Q3/l_1740120355.731.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1740120357.562,Audi/Q3/l_1740120357.562.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1740120358.770,Audi/Q3/l_1740120358.770.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1740968638.579,Audi/Q3/l_1740968638.579.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1742194164.466 (1),Audi/Q3/l_1742194164.466 (1).jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1742194164.466,Audi/Q3/l_1742194164.466.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1742194164.476 (1),Audi/Q3/l_1742194164.476 (1).jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1742194164.476,Audi/Q3/l_1742194164.476.jpg,Audi Q3,trắng,Đây là chiếc xe dòng Audi Q3 màu trắng.,Audi,SUV
l_1742263747.458,Audi/Q3/l_1742263747.458.jpg,Audi Q3,đen,Đây là chiếc xe dòng Audi Q3 màu đen.,Audi,SUV
